Rk,Player,Age,Tm,Lg,TS%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
71,Wayne Ellington,33,DET,NBA,0.625,46,31,1012,12.2,0.814,0.104,1.3,8.1,4.7,10.2,0.9,0.8,8.5,16.7,118,117,1.3,0.5,1.9,0.088,1.3,-1.7,-0.4,0.4,5.3,12,1.2,2.2,4.1,9.8,1,1.2,0.4,2.6,3,2.4,0.6,0.3,1.2,2.1,15.7,0.441,0.524,0.422,0.612,0.8
72,Miles Bridges,22,CHO,NBA,0.625,66,19,1932,14.7,0.466,0.182,4.5,18,11.1,11.4,1.1,2.7,13.6,17.3,116,113,2.4,1.9,4.2,0.105,0.2,0,0.2,1,5.8,11.6,3.7,6.2,2.2,5.4,1.8,2.1,1.5,5.9,7.4,2.7,0.8,1,2,2.7,15.7,0.503,0.593,0.4,0.596,0.867
73,Jeff Green,34,BRK,NBA,0.624,68,38,1835,13,0.472,0.304,2.2,13.1,7.9,7.8,0.9,1.3,8.2,15.6,122,116,2.9,1.2,4.1,0.107,0,-1,-1,0.5,5.1,10.4,3.1,5.5,2,4.9,2.5,3.2,0.7,4.5,5.2,2.1,0.7,0.5,1.1,2.4,14.7,0.492,0.564,0.412,0.59,0.776
74,Shai Gilgeous-Alexander,22,OKC,NBA,0.623,35,35,1180,21.6,0.301,0.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,118,115,2.7,0.8,3.5,0.143,3.8,0,3.8,1.7,8.8,17.2,6.6,12.1,2.2,5.2,5.6,7,0.6,4.5,5.1,6.3,0.8,0.7,3.2,2.1,25.3,0.508,0.547,0.418,0.571,0.808
75,Damian Lillard,30,POR,NBA,0.623,67,67,2398,25.6,0.528,0.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,125,118,9.6,0.8,10.4,0.209,7.4,-1.6,5.9,4.8,9,20,4.9,9.5,4.1,10.6,6.7,7.3,0.5,3.8,4.2,7.6,0.9,0.3,3,1.5,28.9,0.451,0.519,0.391,0.554,0.928
76,Kawhi Leonard,29,LAC,NBA,0.622,52,52,1773,26,0.28,0.325,3.6,17.4,10.7,24.9,2.3,1.1,9.2,28.6,126,110,6.4,2.4,8.8,0.238,5.7,1,6.7,3.9,9.4,18.4,7.4,13.3,2.1,5.2,5.3,6,1.1,5.7,6.8,5.5,1.6,0.4,2.1,1.7,26.2,0.512,0.557,0.398,0.568,0.885
77,Dāvis Bertāns,28,WAS,NBA,0.62,57,7,1464,11.4,0.895,0.241,1.3,10.8,6.1,4.4,1,0.7,5.9,15.9,120,116,2.1,1,3.1,0.101,0.4,-1.4,-1,0.4,4.7,11.8,0.6,1.2,4.2,10.5,2.5,2.8,0.4,3.7,4.1,1.2,0.8,0.3,0.8,3.3,16.1,0.404,0.48,0.395,0.581,0.87
78,Lauri Markkanen,23,CHI,NBA,0.619,51,26,1317,15.2,0.568,0.177,3,19.4,11.3,5,1,1,8.5,20.2,115,113,1.7,1.3,3,0.109,1.3,-1.3,0,0.7,6.8,14.2,3.6,6.2,3.3,8.1,2.1,2.5,1,6.4,7.3,1.2,0.7,0.4,1.4,2.1,19,0.48,0.582,0.402,0.594,0.826
79,Rodney McGruder,29,DET,NBA,0.619,16,2,194,16.1,0.343,0.114,4.5,8.1,6.3,13.6,2,0.4,8.7,18.1,120,114,0.3,0.2,0.5,0.121,0.9,-0.2,0.7,0.1,6.9,13,4.8,8.5,2,4.5,1.1,1.5,1.5,2.6,4.1,3,1.5,0.2,1.3,2.2,16.9,0.529,0.565,0.458,0.607,0.75
80,Cameron Oliver,24,HOU,NBA,0.619,4,0,87,17.2,0.394,0.121,5.9,20.5,12.9,9.6,1.1,4.1,7.9,18.5,118,113,0.1,0.1,0.2,0.114,-1.6,-0.9,-2.4,0,7.9,13.7,6.2,8.3,1.7,5.4,0.4,1.7,2.1,6.6,8.7,2.1,0.8,1.7,1.2,4.6,17.8,0.576,0.75,0.308,0.636,0.25
81,Norman Powell,27,TOT,NBA,0.618,69,58,2205,16.2,0.453,0.295,2,8.8,5.3,9.2,1.8,0.8,10.3,22.6,116,116,3.4,1.3,4.7,0.103,0.8,-0.7,0.1,1.2,7.2,15,4.4,8.2,2.8,6.8,3.9,4.4,0.7,2.8,3.5,2.1,1.3,0.3,1.9,2.6,20.9,0.477,0.532,0.411,0.57,0.871
82,James Harden,31,TOT,NBA,0.618,44,43,1609,24.5,0.455,0.44,2.5,20.6,11.9,44.4,1.6,1.8,16.8,28.4,122,112,5.3,1.7,7,0.208,6.2,0.6,6.8,3.5,7.7,16.4,4.9,8.9,2.7,7.5,6.2,7.2,0.8,7,7.8,10.6,1.2,0.7,4,2.2,24.2,0.466,0.553,0.362,0.548,0.861
83,Jalen Brunson,24,DAL,NBA,0.618,68,12,1697,17.1,0.319,0.241,1.8,13.1,7.5,21.3,1,0.1,10.3,20.2,123,116,3.9,1.1,5.1,0.143,1.4,-0.9,0.5,1.1,7,13.3,5.2,9.1,1.7,4.2,2.5,3.2,0.6,4.3,4.9,5.1,0.7,0,1.7,2.3,18.2,0.523,0.578,0.405,0.588,0.795
84,Drew Eubanks,23,SAS,NBA,0.618,54,3,755,17.9,0.01,0.517,10.2,24,17,7.9,1.2,5.5,15.2,17.1,118,109,1.2,1.1,2.3,0.145,-1.1,1.2,0,0.4,5.5,9.8,5.4,9.7,0.1,0.1,3.7,5.1,3.5,8,11.5,2,0.9,2.3,2.1,4.2,14.8,0.566,0.562,1,0.571,0.726
85,Nicolas Batum,32,LAC,NBA,0.617,67,38,1835,12.9,0.66,0.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,124,110,2.7,2.3,5,0.132,0.5,1,1.4,1.6,3.7,8.1,1.6,2.7,2.2,5.3,0.9,1.1,1,5.2,6.2,2.9,1.4,0.7,1,2,10.6,0.464,0.579,0.404,0.597,0.828
86,Bogdan Bogdanović,28,ATL,NBA,0.616,44,27,1305,17.6,0.589,0.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,122,114,2.8,1.1,3.9,0.142,3.4,0.4,3.8,1.9,7.4,15.6,3.3,6.4,4,9.2,1.1,1.2,0.6,3.9,4.4,4.1,1.4,0.4,1.5,2.7,19.9,0.473,0.522,0.438,0.602,0.909
87,Zeke Nnaji,20,DEN,NBA,0.615,42,1,397,11.3,0.567,0.144,4,14.5,9.3,3.3,1,1,6,12.9,124,115,0.6,0.3,0.9,0.104,-0.7,-1.4,-2.1,0,4.5,9.4,2.4,4.1,2.2,5.4,1.1,1.4,1.3,4.6,5.9,0.9,0.7,0.4,0.6,2.6,12.3,0.481,0.578,0.407,0.596,0.8
88,Tomáš Satoranský,29,CHI,NBA,0.614,58,18,1307,13.8,0.359,0.24,2.6,9.4,6,27.9,1.5,0.9,20.9,15.2,118,114,1.9,1.1,3.1,0.113,-0.5,-0.2,-0.7,0.4,4.7,9.1,3.5,5.8,1.2,3.3,1.8,2.2,0.8,3.1,3.9,7.5,1.1,0.4,2.6,2.5,12.3,0.514,0.602,0.356,0.578,0.848
89,Kyrie Irving,28,BRK,NBA,0.614,54,54,1886,24.4,0.348,0.201,3.2,11.4,7.5,28.6,1.9,1.7,9.9,30.4,121,114,5.8,1.6,7.4,0.189,5.7,-0.4,5.3,3.5,10.5,20.7,7.6,13.5,2.9,7.2,3.8,4.2,1,3.9,4.9,6.2,1.5,0.7,2.5,2.7,27.7,0.506,0.561,0.402,0.576,0.922
90,Marcus Morris,31,LAC,NBA,0.614,57,29,1502,14.5,0.507,0.152,2.7,14.5,8.8,5.6,1.1,0.9,8.4,20.1,117,113,2.1,1.5,3.6,0.115,0.9,-1,-0.2,0.7,6.6,14,3.3,6.9,3.4,7.1,1.7,2.1,0.8,4.8,5.6,1.4,0.8,0.4,1.4,2.8,18.3,0.473,0.472,0.473,0.592,0.82
91,Mychal Mulder,26,GSW,NBA,0.613,60,6,766,10.8,0.808,0.083,1.1,7.1,4.2,4.8,0.7,1.4,5.5,16.2,113,115,0.6,0.6,1.2,0.075,-0.9,-1.4,-2.3,0,5.6,12.5,1.6,2.4,4,10.1,0.7,1,0.4,2.4,2.8,1.2,0.6,0.6,0.8,2.6,15.8,0.449,0.667,0.397,0.609,0.636
92,James Ennis,30,ORL,NBA,0.613,41,37,986,12.5,0.428,0.358,4.4,13.4,8.7,9.3,1.6,0.6,11.3,13.9,120,115,1.3,0.7,2,0.097,-1.9,-0.2,-2.1,0,4.2,8.9,2.6,5.1,1.6,3.8,2.6,3.2,1.6,4.5,6.1,2.3,1.2,0.3,1.3,3.1,12.6,0.473,0.504,0.433,0.566,0.805
93,Danilo Gallinari,32,ATL,NBA,0.613,51,4,1222,16.3,0.535,0.366,1.6,17,9.5,9.2,1.2,0.7,7.2,21.2,123,114,2.7,1,3.7,0.146,1.6,-0.8,0.9,0.9,6.1,14,3,6.5,3,7.5,4.7,5.1,0.5,5.7,6.2,2.2,0.9,0.3,1.3,3.1,19.9,0.434,0.466,0.406,0.542,0.925
94,Jarred Vanderbilt,21,MIN,NBA,0.612,64,30,1139,16.2,0.021,0.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,122,110,1.6,1.5,3.1,0.132,-1.6,1,-0.6,0.4,4.5,7.5,4.5,7.3,0,0.2,1.8,3.2,3.7,7.9,11.6,2.4,2,1.5,1.7,3.9,10.9,0.606,0.615,0.2,0.608,0.559
95,Karl-Anthony Towns,25,MIN,NBA,0.612,50,50,1689,23.1,0.36,0.355,8.2,26.4,17,22.6,1.1,2.9,13.7,29.1,117,113,3.8,1.6,5.4,0.153,4,0.2,4.3,2.7,9.1,18.7,6.5,11.9,2.6,6.7,5.7,6.6,2.8,8.4,11.3,4.8,0.8,1.2,3.4,4,26.4,0.486,0.541,0.387,0.555,0.859
96,Nicolas Claxton,21,BRK,NBA,0.612,32,1,594,16.9,0.034,0.441,8.4,21.8,15.4,6.4,1.9,5.9,9.4,14,124,108,1,0.9,1.9,0.153,-0.8,1.1,0.3,0.3,5.5,8.8,5.4,8.5,0.1,0.3,1.9,3.9,2.6,7.5,10.1,1.7,1.4,2.4,1.1,4.1,12.8,0.621,0.636,0.2,0.624,0.484
97,Jakob Poeltl,25,SAS,NBA,0.612,69,51,1845,17.5,0,0.288,12.4,19.3,15.8,10.1,1.2,5.7,14.6,13.4,123,109,3.2,2.5,5.7,0.148,-0.4,1.1,0.7,1.2,5.2,8.4,5.2,8.4,0,0,1.2,2.4,4.3,6.4,10.7,2.6,0.9,2.4,1.6,3.4,11.6,0.616,0.616,,0.616,0.508
98,Brook Lopez,32,MIL,NBA,0.611,70,70,1902,15.4,0.439,0.222,6,13,9.6,3.5,1,4.8,8.3,16.9,121,111,3.1,2.2,5.3,0.133,0.1,-0.1,0,1,6.1,12.1,4.3,6.8,1.8,5.3,2.3,2.7,2,4.6,6.6,0.9,0.8,1.9,1.2,2.8,16.3,0.503,0.632,0.338,0.577,0.845
99,Kelly Olynyk,29,TOT,NBA,0.61,70,62,1997,16.4,0.528,0.251,4.8,22.5,13.6,16,1.9,2.1,14,19.7,115,110,2.5,2.6,5.1,0.121,0.2,0.9,1.1,1.6,6.1,12.6,3.8,5.9,2.3,6.6,2.6,3.2,1.6,7.2,8.8,3.7,1.4,0.8,2.3,3.7,17,0.484,0.641,0.342,0.574,0.829
100,Javonte Green,27,TOT,NBA,0.61,41,2,473,12.1,0.294,0.392,6.1,10.6,8.3,4.8,2.9,1.1,13.7,12.6,118,111,0.5,0.6,1.1,0.107,-2.2,1.5,-0.8,0.2,4,7.8,3.3,5.5,0.8,2.3,2.3,3,2,3.4,5.4,1.3,2.1,0.5,1.4,3.4,11.1,0.52,0.597,0.333,0.569,0.75
101,Dorian Finney-Smith,27,DAL,NBA,0.609,60,60,1921,12,0.648,0.088,5.7,13,9.3,7.2,1.3,1.2,9,12.2,124,114,2.8,1.6,4.4,0.11,0.1,-0.1,-0.1,0.9,4.1,8.7,1.9,3.1,2.2,5.7,0.6,0.8,1.8,4.3,6.1,1.9,1,0.5,0.9,2.6,11.1,0.472,0.616,0.394,0.6,0.756
102,Dwight Howard,35,PHI,NBA,0.61,69,6,1196,17.8,0.066,0.693,17.8,35.3,26.7,7.2,1.2,4.7,22.1,18.2,113,102,1.3,2.6,4,0.159,-2.2,0.3,-1.9,0,5.4,9.1,5.2,8.5,0.2,0.6,3.6,6.3,5.7,11.7,17.5,1.8,0.9,1.9,3.4,6,14.5,0.587,0.611,0.25,0.596,0.576
103,Daniel Theis,28,TOT,NBA,0.609,65,51,1601,15,0.326,0.236,6.5,18.3,12.4,9.5,1.2,3.3,11.4,15.6,120,111,2.4,1.8,4.3,0.128,-0.6,0.5,-0.2,0.7,5.7,10.5,4.6,7.1,1.1,3.4,1.7,2.5,2.1,5.9,8,2.4,0.9,1.3,1.5,3.8,14.1,0.541,0.646,0.322,0.593,0.673
104,John Konchar,24,MEM,NBA,0.608,43,0,575,14.8,0.406,0.217,6.4,17.3,11.8,10.7,2.5,1.4,10.6,12.4,125,109,0.9,0.8,1.7,0.145,-0.4,1.3,0.9,0.4,4.3,8.6,3,5.1,1.3,3.5,1.6,1.9,2.2,5.8,8,2.9,1.9,0.6,1.1,2.5,11.5,0.5,0.585,0.375,0.576,0.833
105,Luke Kennard,24,LAC,NBA,0.608,63,17,1232,12.7,0.541,0.075,1.4,13,7.3,11.9,0.9,0.7,10.1,17.1,117,114,1.6,1.1,2.7,0.105,0.3,-1,-0.6,0.4,5.8,12.1,2.8,5.6,2.9,6.5,0.8,0.9,0.4,4.3,4.7,3,0.7,0.3,1.4,2.7,15.2,0.476,0.511,0.446,0.597,0.839
106,Jimmy Butler,31,MIA,NBA,0.607,52,52,1745,26.5,0.139,0.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,127,108,6.6,2.7,9.3,0.255,5.1,2.5,7.5,4.2,7.6,15.2,7,13.1,0.5,2.1,7.4,8.6,1.9,5.5,7.4,7.6,2.2,0.4,2.2,1.5,23,0.497,0.538,0.245,0.514,0.863
107,Seth Curry,30,PHI,NBA,0.607,57,57,1638,12.9,0.507,0.139,0.7,8.3,4.6,13.6,1.3,0.4,10,17.1,118,112,2.3,1.7,4,0.118,-0.1,-0.8,-0.9,0.5,5.7,12.1,2.9,6,2.8,6.2,1.5,1.7,0.2,2.8,3,3.4,1,0.2,1.4,2.1,15.6,0.467,0.485,0.45,0.582,0.896
108,Marc Gasol,36,LAL,NBA,0.606,52,42,993,12.2,0.629,0.258,4.3,19.9,12.2,14.7,1.3,5.2,19.7,11.8,115,105,0.8,1.9,2.8,0.133,-1.2,3.3,2.1,1,3.2,7,1.4,2.6,1.8,4.4,1.3,1.8,1.4,6.4,7.8,4,0.9,2.1,1.9,4.2,9.5,0.454,0.528,0.41,0.582,0.72
109,Maxi Kleber,29,DAL,NBA,0.606,50,40,1341,10.6,0.771,0.135,3.9,17.4,10.7,6.6,0.9,2.4,9.3,10.6,123,113,1.6,1.3,2.9,0.103,-0.6,0,-0.7,0.5,3.1,7.4,0.8,1.7,2.3,5.7,0.9,1,1.3,5.7,7,1.8,0.6,0.9,0.8,2.8,9.5,0.422,0.46,0.41,0.58,0.919
110,Reggie Bullock,29,NYK,NBA,0.606,65,64,1949,11.1,0.709,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,118,111,2.3,2.3,4.6,0.114,-0.8,0.6,-0.1,0.9,4.6,10.4,1.6,3,3,7.4,0.9,1,0.3,3.8,4.1,1.8,1,0.2,0.8,2.7,13.1,0.442,0.521,0.41,0.587,0.909
111,Jarrell Brantley,24,UTA,NBA,0.605,28,0,138,16.6,0.538,0.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19,120,107,0.3,0.2,0.5,0.172,0.5,1.6,2.1,0.1,6.5,13.6,3.4,6.3,3.1,7.3,0.5,0.5,2.3,4.7,7,3.9,1.8,0.5,2.1,4.4,16.7,0.481,0.542,0.429,0.596,1
112,Xavier Tillman,22,MEM,NBA,0.605,59,12,1085,14.7,0.217,0.177,7.2,18,12.5,9.4,1.9,2.7,12.3,14.3,119,110,1.4,1.5,2.9,0.127,-1.3,0.9,-0.4,0.4,5.5,9.9,4.8,7.8,0.7,2.2,1.1,1.8,2.5,6,8.5,2.5,1.5,1.1,1.5,3.8,12.9,0.559,0.62,0.338,0.595,0.642
113,Abdel Nader,27,PHO,NBA,0.605,24,0,355,13.4,0.371,0.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19,111,111,0.3,0.4,0.7,0.095,-1.2,0.8,-0.4,0.2,5.8,11.8,4,7.4,1.8,4.4,2.8,3.8,0.7,5.6,6.3,1.9,1,0.9,1.9,3.4,16.2,0.491,0.534,0.419,0.569,0.757
114,OG Anunoby,23,TOR,NBA,0.605,43,43,1433,15.4,0.503,0.197,4,14.6,9.1,10.1,2.2,2.2,11.7,19.3,113,112,1.5,1.6,3.1,0.104,0.6,0.3,1,1.1,6.3,13,3.6,6.5,2.6,6.6,2,2.6,1.4,4.6,6,2.4,1.7,0.8,1.9,2.9,17.1,0.48,0.562,0.398,0.58,0.784
115,Langston Galloway,29,PHO,NBA,0.605,40,0,438,12.1,0.578,0.156,1.8,8.9,5.4,8,0.9,0,7.6,17.3,118,115,0.6,0.3,0.9,0.096,-0.2,-1.2,-1.4,0.1,5.4,12.1,2.5,5.1,3,7,1.8,1.9,0.6,2.9,3.5,2.1,0.7,0,1.1,2.1,15.6,0.449,0.484,0.424,0.571,0.957
116,Alfonzo McKinnie,28,LAL,NBA,0.604,39,0,258,15.5,0.419,0.194,9.6,13.9,11.8,3.6,1.3,0,4.7,17.8,123,110,0.5,0.3,0.8,0.156,0.4,-1.2,-0.8,0.1,6.7,13,4.5,7.5,2.2,5.4,1.4,2.5,3.1,4.5,7.5,0.8,1,0,0.7,3.6,17,0.516,0.593,0.41,0.602,0.556
117,Bruce Brown,24,BRK,NBA,0.604,65,37,1451,16.1,0.139,0.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,124,112,2.8,1.5,4.4,0.144,-0.4,0.1,-0.3,0.6,5.8,10.5,5.4,9,0.4,1.5,2.1,2.9,2.8,5.9,8.7,2.6,1.4,0.7,1.3,3.6,14.2,0.556,0.599,0.288,0.576,0.735
118,Sam Merrill,24,MIL,NBA,0.603,30,2,233,11.9,0.653,0.056,2.8,10.4,6.8,11.4,1.6,0.4,11.9,15,118,114,0.3,0.2,0.5,0.102,-0.6,-0.8,-1.4,0,4.9,11.1,1.7,3.9,3.2,7.3,0.6,0.6,0.9,3.7,4.6,3.2,1.2,0.2,1.5,2.6,13.8,0.444,0.44,0.447,0.59,1
119,Terance Mann,24,LAC,NBA,0.603,67,10,1263,13.8,0.26,0.269,5.1,16.1,10.8,11.3,1.1,0.9,9.3,15.1,125,112,2.4,1.3,3.7,0.141,-0.5,0.4,-0.1,0.6,5.1,10,4,7.4,1.1,2.6,2.2,2.7,1.6,5.3,6.9,3,0.8,0.4,1.1,3.6,13.5,0.509,0.541,0.418,0.563,0.83
120,De'Andre Hunter,23,ATL,NBA,0.603,23,19,678,15.7,0.383,0.343,2.8,14.7,8.9,9.7,1.4,1.6,9.2,20.2,119,114,1.2,0.6,1.7,0.123,0.8,-0.1,0.8,0.5,6.4,13.2,4.7,8.1,1.6,5,3.9,4.5,0.9,4.9,5.8,2.3,1,0.6,1.5,3.1,18.3,0.484,0.582,0.326,0.546,0.859
121,Georges Niang,27,UTA,NBA,0.602,72,10,1154,11.4,0.721,0.057,2.7,13,8.1,7.3,1.1,0.6,10.9,17.4,114,111,1.2,1.4,2.6,0.108,-0.5,0.1,-0.4,0.5,5.5,12.6,1.7,3.5,3.9,9.1,0.7,0.7,0.9,4.6,5.5,1.8,0.8,0.2,1.6,3.6,15.6,0.437,0.469,0.425,0.59,0.957
122,LeBron James,36,LAL,NBA,0.602,45,45,1504,24.2,0.346,0.31,2.2,23.6,12.9,41.8,1.6,1.5,15.2,31.9,114,106,3,2.6,5.6,0.179,5.9,1.6,7.5,3.6,10.1,19.7,7.6,12.9,2.5,6.8,4.3,6.1,0.7,7.6,8.3,8.4,1.1,0.6,4,1.7,27,0.513,0.591,0.365,0.576,0.698
123,Cameron Payne,26,PHO,NBA,0.602,60,1,1079,17.4,0.42,0.142,1.7,13.2,7.6,28.1,1.6,1.3,12.5,19.8,122,112,2.4,1.2,3.6,0.158,1.7,0.9,2.6,1.3,6.4,13.2,3.9,7.6,2.4,5.5,1.7,1.9,0.5,4.3,4.8,7.2,1.2,0.5,2,3.2,16.8,0.484,0.515,0.44,0.576,0.893
124,Clint Capela,26,ATL,NBA,0.601,63,63,1898,24.3,0,0.327,17.5,34.3,26.1,4.1,1.1,6,8.4,19.9,125,106,4.9,3.3,8.2,0.207,2.7,-0.2,2.5,2.1,7.8,13.2,7.8,13.2,0,0,2.5,4.3,5.6,11.5,17.1,0.9,0.8,2.4,1.4,2.8,18.1,0.594,0.594,,0.594,0.573
125,Domantas Sabonis,24,IND,NBA,0.601,62,62,2231,20.6,0.179,0.363,7.3,28.6,18,27.5,1.6,1.2,16.9,24.1,115,110,4,3,6.9,0.149,2.4,1.5,3.9,3.3,7.8,14.6,7,12,0.8,2.6,3.9,5.3,2.4,9.6,12,6.7,1.2,0.5,3.4,3.3,20.3,0.535,0.582,0.321,0.564,0.732
126,Louis King,21,SAC,NBA,0.6,6,1,85,21.2,0.324,0.176,6.4,17.2,11.8,15.4,4,3,9.8,20.6,121,110,0.2,0.1,0.3,0.16,2.3,2.7,5,0.2,7.2,14.4,5.5,9.7,1.7,4.7,2.5,2.5,2.1,5.5,7.6,3.8,3,1.3,1.7,3.8,18.6,0.5,0.565,0.364,0.559,1
127,Desmond Bane,22,MEM,NBA,0.6,68,17,1519,12.2,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,115,114,1.6,1.3,2.9,0.093,-0.7,-0.3,-1,0.4,5.5,11.8,2.8,5.4,2.8,6.4,0.9,1.2,0.7,4.2,5,2.8,1,0.4,1.4,3,14.8,0.469,0.513,0.432,0.586,0.816
128,Kenrich Williams,26,OKC,NBA,0.599,66,13,1426,14,0.285,0.153,6.1,14,10,16.4,1.8,1.1,14.8,15.3,116,114,1.6,1.2,2.8,0.096,-1.1,0.7,-0.3,0.6,5.5,10.4,4.2,7.4,1.3,3,0.9,1.6,2.1,4.8,6.9,3.8,1.4,0.4,1.9,3.6,13.3,0.533,0.568,0.444,0.596,0.571
129,Naz Reid,21,MIN,NBA,0.599,70,15,1347,18.2,0.299,0.286,6.4,20,12.9,8.7,1.2,4.9,9.5,22.5,115,113,1.9,1.3,3.2,0.113,-0.2,-0.5,-0.6,0.5,8.1,15.5,6.5,10.9,1.6,4.7,3.1,4.4,2.2,6.4,8.6,1.9,0.9,2,1.8,4.8,21,0.523,0.597,0.351,0.576,0.693
130,Mike Muscala,29,OKC,NBA,0.599,35,0,645,14.7,0.689,0.135,3,18.4,10.6,7,0.6,1.5,6.9,20,116,115,0.9,0.4,1.3,0.096,0.8,-1.2,-0.3,0.3,6.6,14.9,2.8,4.6,3.8,10.3,1.8,2,1.1,6.3,7.4,1.6,0.4,0.6,1.2,3,18.9,0.446,0.614,0.37,0.573,0.917
131,Chris Paul,35,PHO,NBA,0.599,70,70,2199,21.4,0.294,0.206,1.3,14.5,8,40.9,2.2,0.8,14,22.6,124,111,6.5,2.7,9.2,0.201,3.4,1.3,4.7,3.7,7.2,14.4,5.5,10.2,1.7,4.2,2.8,3,0.4,4.7,5.1,10.2,1.6,0.3,2.6,2.7,18.8,0.499,0.543,0.395,0.557,0.934
132,Cody Zeller,28,CHO,NBA,0.599,48,21,1005,18.2,0.086,0.367,12.6,22.9,17.7,13.2,1.3,1.7,11.9,18.3,123,112,2.1,1.1,3.3,0.156,-0.2,-0.1,-0.3,0.4,6.5,11.6,6.3,10.6,0.1,1,3,4.3,4.3,7.5,11.7,3.1,1,0.6,1.8,4.3,16.2,0.559,0.598,0.143,0.565,0.714
133,Royce O'Neale,27,UTA,NBA,0.599,71,71,2241,9.9,0.706,0.117,4.4,18,11.5,10.4,1.2,1.2,16.7,9.6,121,108,2.3,3.3,5.6,0.121,-1.3,1.7,0.4,1.4,2.8,6.3,1.1,1.9,1.7,4.5,0.6,0.7,1.4,6.4,7.8,2.9,0.9,0.5,1.3,2.9,8,0.444,0.586,0.385,0.58,0.848
134,Myles Turner,24,IND,NBA,0.599,47,47,1455,15.3,0.477,0.329,4.7,18,11.4,4.4,1.3,8.8,11.9,16.4,112,108,1.1,2.2,3.3,0.11,-1.3,1.7,0.4,0.9,5.1,10.7,3.4,5.6,1.7,5.1,2.7,3.5,1.6,6,7.6,1.2,1,3.9,1.7,4.1,14.6,0.477,0.606,0.335,0.557,0.782
135,Bobby Portis,25,MIL,NBA,0.598,66,7,1372,19.9,0.263,0.122,9.9,25.3,17.9,7.4,1.8,1.7,8.2,20.9,121,109,2.8,2,4.8,0.167,2,-0.6,1.4,1.2,8.2,15.7,6.3,11.6,1.9,4.1,1.4,1.9,3.3,9,12.2,1.9,1.4,0.7,1.5,3,19.8,0.523,0.542,0.471,0.585,0.74
136,Frank Jackson,22,DET,NBA,0.598,40,6,738,13.3,0.512,0.256,2.2,10.8,6.5,7.9,1,0.1,9.4,21.3,112,116,0.7,0.4,1.2,0.076,-0.4,-1.6,-2.1,0,6.5,14.3,3.6,7,3,7.3,3,3.7,0.7,3.5,4.2,1.8,0.7,0,1.7,2.6,19,0.457,0.51,0.407,0.561,0.813
137,Evan Fournier,28,TOT,NBA,0.598,42,36,1259,16.7,0.523,0.253,0.8,10.2,5.4,18.6,1.8,1.4,10.8,23.1,115,115,1.8,1,2.8,0.107,1.2,-0.2,1,1,7.1,15.5,3.7,7.4,3.3,8.1,3.1,3.9,0.3,3.4,3.7,4.1,1.3,0.5,2.1,2.7,20.6,0.457,0.504,0.413,0.565,0.788
138,Paul George,30,LAC,NBA,0.598,54,54,1821,20.5,0.437,0.239,2.9,18.9,11.1,24.6,1.7,1.2,14.5,30,113,110,3,2.3,5.3,0.139,4,-0.4,3.7,2.6,8.8,18.8,5.4,10.6,3.4,8.2,3.9,4.5,0.9,6.2,7.1,5.5,1.2,0.5,3.5,2.6,24.9,0.467,0.51,0.411,0.557,0.868
139,Isaiah Stewart,19,DET,NBA,0.597,68,14,1455,16.4,0.154,0.225,12,22.7,17.3,6.3,1.3,5.2,13,15.5,118,109,1.9,2.1,4,0.132,-1.6,0.4,-1.2,0.3,5.6,10.1,5.1,8.6,0.5,1.6,1.6,2.3,3.9,7.3,11.2,1.5,1,2.1,1.7,4.6,13.3,0.553,0.592,0.333,0.578,0.696
140,Max Strus,24,MIA,NBA,0.597,39,0,507,12.1,0.791,0.128,1.1,8,4.6,7.3,1.1,0.4,3.9,18.3,115,115,0.6,0.3,0.9,0.088,-0.4,-1.8,-2.2,0,6,13.3,2.5,2.8,3.6,10.5,1.1,1.7,0.4,2.6,2.9,1.7,0.8,0.1,0.6,3.1,16.8,0.455,0.897,0.338,0.588,0.667
141,Udoka Azubuike,21,UTA,NBA,0.597,15,0,57,10.3,0,1.111,7.8,16,12.1,0,0.9,5.7,18.3,12.4,113,106,0,0.1,0.1,0.119,-5.6,0.7,-4.9,0,2.5,5.7,2.5,5.7,0,0,5.1,6.3,2.5,5.7,8.2,0,0.6,2.5,1.9,5.7,10.1,0.444,0.444,,0.444,0.8
