Rk,Player,Age,Tm,Lg,TS%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
17,Darius Miller,30,OKC,NBA,0.685,18,0,197,15.9,0.875,0.25,1,11.8,6.3,15.4,3.1,2.3,13.1,13.2,130,111,0.4,0.2,0.6,0.156,1.2,2.7,3.9,0.3,4,8.8,0.9,1.1,3.1,7.7,2.2,2.2,0.4,4,4.4,3.8,2.4,0.9,1.5,2.4,13.3,0.458,0.833,0.405,0.635,1
18,Rudy Gobert,28,UTA,NBA,0.683,71,71,2187,23.5,0.007,0.646,12.2,33.5,23.3,6,0.9,7,13.7,17,131,101,6.1,5.2,11.3,0.248,2,2.5,4.5,3.6,6.4,9.5,6.4,9.5,0,0.1,3.8,6.2,4,11.9,15.8,1.5,0.7,3.1,1.9,2.7,16.7,0.675,0.68,0,0.675,0.623
19,Tony Bradley,23,TOT,NBA,0.678,42,8,684,20.7,0.015,0.279,13.3,24,18.6,8.5,1,3.9,13,15.8,131,109,1.8,1,2.7,0.192,1.1,0.1,1.2,0.6,6.9,10.4,6.9,10.2,0,0.2,2,2.9,4.5,8.1,12.6,1.9,0.8,1.6,1.7,3.2,15.8,0.665,0.675,0,0.665,0.691
20,Juan Toscano-Anderson,27,GSW,NBA,0.676,53,16,1107,12.6,0.44,0.148,2.8,19.5,11.3,18.1,1.7,2.1,21.5,11,121,109,1.4,1.6,3,0.13,-1.5,2.2,0.6,0.7,3.9,6.8,2.7,3.8,1.2,3,0.7,1,0.9,6.7,7.6,4.9,1.3,0.8,2,3.6,9.8,0.579,0.718,0.402,0.667,0.71
21,Jaxson Hayes,20,NOP,NBA,0.675,60,3,964,19.1,0.05,0.429,10.4,18.6,14.5,5.2,1.2,3.7,10.5,16.2,132,112,2.6,1,3.5,0.176,0.6,-0.1,0.5,0.6,6.5,10.5,6.3,9.9,0.2,0.5,3.5,4.5,3.4,6.2,9.6,1.3,0.9,1.4,1.5,3.8,16.8,0.625,0.635,0.429,0.636,0.775
22,Joe Ingles,33,UTA,NBA,0.672,67,30,1867,15.9,0.722,0.16,1.6,11.8,6.9,24,1.2,0.5,16.3,16.6,129,111,4.7,2.3,7,0.18,2.7,0.7,3.4,2.5,5.3,10.8,1.8,3,3.5,7.8,1.5,1.7,0.5,4.2,4.7,6.1,0.9,0.2,2.3,2.3,15.6,0.489,0.59,0.451,0.652,0.844
23,Gorgui Dieng,31,TOT,NBA,0.67,38,1,552,19.2,0.429,0.411,7.6,19.5,13.5,12,2.3,2.6,14.3,17.4,127,109,1.3,0.8,2.1,0.185,1.6,1.3,3,0.7,5.5,10.6,3.6,6.1,2,4.6,3.8,4.4,2.6,6.5,9.1,3.1,1.7,1,2.1,3.7,16.8,0.521,0.591,0.429,0.613,0.866
24,Richaun Holmes,27,SAC,NBA,0.669,61,61,1782,20.2,0.019,0.296,8.8,22.7,15.7,8.3,1.1,4.6,10.3,17.5,130,115,4.7,1.4,6.1,0.165,0.6,-0.3,0.3,1,7.4,11.6,7.4,11.4,0,0.2,2.7,3.4,2.9,7.3,10.2,2,0.8,1.9,1.5,4.3,17.6,0.637,0.645,0.182,0.638,0.794
25,Mikal Bridges,24,PHO,NBA,0.667,72,72,2348,16.4,0.471,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,131,112,5.4,2.6,8,0.164,2.2,0.8,3,3,5.6,10.3,3.5,5.4,2.1,4.8,1.7,2,1.2,3.6,4.7,2.3,1.2,1,0.9,1.8,14.9,0.543,0.647,0.425,0.643,0.84
26,Kevin Durant,32,BRK,NBA,0.666,35,32,1157,26.4,0.313,0.395,1.3,21.3,11.8,27.5,1,3.4,14.5,31.2,122,112,3.7,1.2,5,0.206,6.2,0.6,6.9,2.6,10.1,18.8,7.4,12.9,2.6,5.9,6.5,7.4,0.4,7.3,7.7,6.1,0.8,1.4,3.7,2.2,29.3,0.537,0.577,0.45,0.608,0.882
27,Michael Porter,22,DEN,NBA,0.663,61,54,1912,20.6,0.468,0.164,5.4,20.9,13.2,5.6,1,2.8,8.1,21.7,125,112,4.8,2.1,6.9,0.173,3.9,-1,3,2.4,8.3,15.4,5.1,8.2,3.2,7.2,2,2.5,1.7,6.7,8.4,1.3,0.8,1,1.4,2.4,21.9,0.542,0.628,0.445,0.646,0.791
28,Derrick Favors,29,UTA,NBA,0.663,68,0,1039,19.7,0.008,0.329,14.7,23.3,19.2,6,1.5,5.3,11.5,13,138,103,2.9,2.2,5.1,0.237,0.2,1.8,2,1,5.4,8.4,5.4,8.4,0,0.1,2,2.8,4.8,8.2,13,1.5,1.1,2.4,1.2,5,12.8,0.638,0.643,0,0.638,0.738
29,Joe Harris,29,BRK,NBA,0.663,69,65,2141,14.1,0.628,0.089,2.3,10.1,6.4,8.4,1,0.6,7.8,16.2,126,117,4.1,1.1,5.2,0.117,1.7,-1.5,0.2,1.2,6,11.9,2.5,4.4,3.5,7.5,0.8,1.1,0.7,3.4,4.2,2.2,0.8,0.2,1,2.4,16.4,0.505,0.555,0.475,0.654,0.778
30,Robin Lopez,32,WAS,NBA,0.661,71,9,1354,16.7,0.042,0.322,11.1,10.2,10.6,5.9,0.5,2.7,13.4,17.1,124,116,2.8,0.9,3.7,0.131,0.3,-1.4,-1.1,0.3,7.2,11.3,7,10.8,0.1,0.5,2.6,3.6,3.7,3.5,7.2,1.5,0.4,1.2,2,2.9,17.1,0.633,0.649,0.278,0.639,0.723
31,Taj Gibson,35,NYK,NBA,0.661,45,3,936,16,0.095,0.348,11.6,17.3,14.5,5.4,1.7,5,10.8,9.7,139,105,2.1,1.7,3.8,0.195,-0.8,2.2,1.4,0.8,3.8,6.1,3.7,5.5,0.1,0.6,1.5,2.1,3.8,5.8,9.6,1.4,1.2,1.9,0.8,3.8,9.3,0.627,0.671,0.2,0.636,0.727
32,Jarrett Allen,22,TOT,NBA,0.661,63,45,1864,20.1,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,127,112,4.3,2.1,6.4,0.166,1.4,-0.4,0.9,1.4,5.8,9.3,5.6,8.9,0.1,0.4,3.9,5.6,3.8,8.4,12.2,2,0.6,1.7,1.9,1.9,15.6,0.618,0.631,0.316,0.624,0.703
33,Tacko Fall,25,BOS,NBA,0.66,19,0,136,19.6,0,0.517,13,29.7,21.3,3.1,0.4,13.7,14.4,13.2,124,104,0.2,0.3,0.5,0.177,-1.5,2.6,1.1,0.1,5.6,7.7,5.6,7.7,0,0,1.3,4,4.2,9.5,13.8,0.8,0.3,5.3,1.6,5.8,12.4,0.724,0.724,,0.724,0.333
34,Tyler Cook,23,TOT,NBA,0.659,32,1,438,12.8,0.019,0.34,7,17.2,12.1,5.9,0.9,0.4,15.1,13.9,118,115,0.5,0.3,0.8,0.09,-2.5,-0.5,-3,-0.1,5.7,8.5,5.6,8.3,0.1,0.2,1.4,2.9,2.3,5.5,7.8,1.4,0.7,0.2,1.7,2.9,12.8,0.67,0.673,0.5,0.675,0.486
35,Thon Maker,23,CLE,NBA,0.657,8,0,76,18.6,0.111,0.611,11.5,15.1,13.3,7.9,1.3,4.7,11.6,14.8,133,113,0.2,0.1,0.3,0.174,0.3,1.2,1.5,0.1,4.7,8.5,4.7,7.6,0,0.9,4.7,5.2,3.8,4.7,8.5,1.9,0.9,1.9,1.4,3.3,14.2,0.556,0.625,0,0.556,0.909
36,Onyeka Okongwu,20,ATL,NBA,0.655,50,4,601,16.8,0.02,0.383,11.5,18,14.9,4.4,1.9,4.8,14.3,14.7,125,109,1.1,0.8,1.9,0.155,-2.2,0.9,-1.3,0.1,5.8,8.9,5.8,8.7,0,0.2,2.2,3.4,3.7,6,9.8,1.1,1.4,2,1.7,6,13.7,0.644,0.658,0,0.644,0.632
37,Stephen Curry,32,GSW,NBA,0.655,63,63,2152,26.3,0.587,0.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,119,111,6.5,2.5,9,0.201,8.1,0,8.1,5.5,11,22.8,5.4,9.4,5.6,13.4,6.1,6.6,0.5,5.3,5.8,6.1,1.3,0.1,3.6,2,33.7,0.482,0.569,0.421,0.605,0.916
38,Deandre Ayton,22,PHO,NBA,0.653,69,69,2115,20.3,0.029,0.252,12.4,26.3,19.5,6.8,1,3.4,11.9,18.2,127,109,5.3,3.1,8.4,0.191,0.9,0,0.9,1.6,7.3,11.7,7.3,11.4,0.1,0.3,2.3,2.9,3.9,8.5,12.4,1.7,0.7,1.4,1.8,3.3,17,0.626,0.639,0.2,0.629,0.769
39,Montrezl Harrell,27,LAL,NBA,0.65,69,1,1580,22.7,0.017,0.425,11.3,19.1,15.2,7.7,1.4,2.8,9.4,21.7,127,106,4.5,2.7,7.3,0.221,2.4,0.3,2.7,1.9,8.5,13.7,8.5,13.5,0,0.2,4.1,5.8,3.6,6.2,9.8,1.7,1,1.1,1.7,2.9,21.2,0.622,0.632,0,0.622,0.707
40,Paul Watson,26,TOR,NBA,0.649,27,2,297,10.9,0.78,0.098,1.4,15.7,8.3,8.2,1,1,9.5,13.7,120,115,0.4,0.2,0.6,0.096,-0.7,-0.7,-1.4,0,4.6,9.9,1,2.2,3.6,7.8,0.6,1,0.5,5,5.5,2.1,0.7,0.4,1.1,4.4,13.5,0.463,0.444,0.469,0.646,0.625
41,Zion Williamson,20,NOP,NBA,0.649,61,61,2026,27.1,0.033,0.51,8.9,14.7,11.8,19.7,1.3,1.8,11.6,29.8,124,115,7.1,1.6,8.7,0.205,5.8,-0.4,5.4,3.8,11.3,18.4,11.1,17.8,0.2,0.6,6.6,9.4,3,4.9,7.8,4,1,0.7,3,2.4,29.3,0.611,0.622,0.294,0.616,0.698
42,Willie Cauley-Stein,27,DAL,NBA,0.647,53,16,906,14.3,0.06,0.429,8.1,20.5,14.3,5.3,1.1,4.4,11.8,12,128,110,1.6,1.2,2.8,0.147,-2.2,0.6,-1.6,0.1,4.6,7.2,4.5,6.8,0,0.4,1.9,3.1,2.6,6.8,9.4,1.4,0.8,1.7,1.2,5.1,11.1,0.632,0.667,0.091,0.635,0.628
43,Nikola Jokić,25,DEN,NBA,0.647,72,72,2488,31.3,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,130,109,12.2,3.4,15.6,0.301,9.2,2.5,11.7,8.6,10.6,18.7,9.3,15.3,1.3,3.4,4.9,5.7,3,8.3,11.3,8.7,1.4,0.7,3.2,2.8,27.5,0.566,0.606,0.388,0.602,0.868
44,John Collins,23,ATL,NBA,0.645,63,63,1848,20.6,0.27,0.265,7.1,20.3,13.8,6.9,0.9,3,8.9,22.2,125,112,4.8,1.9,6.7,0.174,2.5,-0.4,2.1,1.9,8.4,15,6.7,11,1.6,4.1,3.3,4,2.3,6.8,9.1,1.5,0.7,1.2,1.6,3.8,21.6,0.556,0.615,0.399,0.61,0.833
