player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Derrick White,whitede01,2022,5792,2784,0.7225111777,2.907419296,3.629930474,-1.142355462,3.172744673,2.030389212,0.3584597625,3.106443605,3.464903368,8.849230058,7.546422034,1.302808024,0.6609223121,3.243747213,3.904669525,0.1256573736
Hassan Whiteside,whiteha01,2022,2538,1227,-0.1148320713,2.537127812,2.422295741,5.513799434,0.4675417362,5.98134117,1.007040496,2.26106652,3.268107017,3.765099817,3.595337778,0.1697620397,0.6617177244,2.279029458,2.940747182,-0.1274275832
Joe Wieskamp,wieskjo01,2022,432,205,-2.052230878,-3.896101932,-5.948332809,-4.080451204,3.101066409,-0.9793847945,-2.581993229,-2.677650576,-5.259643806,-0.2616088592,-0.2616088592,0,-2.096517737,-3.584627655,-5.681145392,-0.3342352353
Aaron Wiggins,wiggiaa01,2022,2559,1209,-2.347883188,-1.849873156,-4.197756344,0.3704166371,-0.6675101147,-0.2970934777,-1.846780242,-1.700197397,-3.546977638,-0.4926739599,-0.4926739599,0,-3.071818401,-1.329751769,-4.401570171,0.2182337282
Andrew Wiggins,wiggian01,2022,6410,3096,-0.1267062558,1.802429044,1.675722788,1.696955554,2.158928098,3.855883652,0.2174240002,1.919715523,2.137139523,7.848096706,4.506061033,3.342035673,0.936388436,2.406333216,3.342721652,0.07759781134
Lindell Wigginton,wiggili01,2022,435,199,-2.47650288,-2.411968931,-4.888471811,-4.503294303,-6.409508808,-10.91280311,-3.071432308,-3.401210617,-6.472642925,-0.3810950643,-0.3810950643,0,-3.034195384,-4.115966183,-7.150161567,0.829709327
Brandon Williams,willibr03,2022,1346,640,-2.768745288,-1.331300264,-4.100045552,-2.770027545,-3.582955432,-6.352982977,-2.843967564,-1.794228917,-4.63819648,-0.6204394096,-0.6204394096,0,-3.193516475,-2.101584136,-5.295100611,0.6310124265
Grant Williams,willigr01,2022,5165,2529,-1.235402731,1.209259344,-0.02614338716,0.2392633554,-2.681703084,-2.442439729,-1.024984185,0.3791016645,-0.6458825208,2.741497818,1.707483071,1.034014747,-1.467176397,0.86793713,-0.5992392671,-0.3639374167
Kenrich Williams,willike04,2022,2216,1072,-1.105076777,2.436640968,1.331564191,-1.659530123,8.07740139,6.417871267,-1.209391856,3.773824037,2.564432181,2.890830215,2.890830215,0,-2.118185834,2.431418133,0.3132322997,-0.5441328898
Lou Williams,willilo02,2022,1659,799,-1.183710821,-1.227036492,-2.410747313,-1.197903114,-0.1842901733,-1.382193287,-1.323417539,-1.080727822,-2.404145361,0.1404921668,0.1404921668,0,-0.7115346703,-2.302398564,-3.013933234,-0.3513938184
Patrick Williams,willipa01,2022,1202,575,-0.9035415259,-1.628102858,-2.531644383,-4.697190222,-5.44136804,-10.13855826,-1.702209935,-2.523375944,-4.225585879,-0.4438352962,0.09297051334,-0.5368058095,-2.06067498,-1.899485662,-3.960160642,0.2567623133
Robert Williams III,williro04,2022,4458,2198,0.5679504734,2.807192493,3.375142966,0.811504193,3.402291271,4.213795464,0.6392239949,3.016426321,3.655650316,7.213416849,5.168515398,2.044901451,0.1598194376,2.501663502,2.66148294,-0.550678354
Ziaire Williams,willizi02,2022,3275,1514,-1.199622248,-0.8395139085,-2.039136156,0.3036289083,-0.6525928825,-0.3489639742,-0.9939264558,-0.9009537431,-1.894880199,0.6669666285,0.5349639676,0.132002661,-0.6275599572,-0.2930724431,-0.9206324003,0.7418299749
D.J. Wilson,wilsodj01,2022,123,54,2.662473058,0.1497960221,2.81226908,-3.977741122,-4.314150274,-8.291891396,1.445425451,-0.7550442492,0.6903812015,0.09662175849,0.09662175849,0,2.830206162,1.114795992,3.945002154,1.937597586
Dylan Windler,windldy01,2022,932,459,-1.035458509,0.6780514175,-0.3574070915,-4.874790549,3.918769452,-0.9560210975,-1.899949212,1.359510084,-0.5404391282,0.516094175,0.516094175,0,-2.109244029,0.3758160553,-1.733427974,-0.2598965084
Justise Winslow,winslju01,2022,1663,774,-1.603632704,1.330912702,-0.2727200021,0.5647269806,3.248326134,3.813053115,-1.216906602,1.824597549,0.6076909475,1.348294238,1.348294238,0,-1.265763427,0.6739585524,-0.5918048745,0.839803021
Cassius Winston,winstca01,2022,80,39,-1.83240274,-4.218095482,-6.050498222,-5.419485981,-0.2035590832,-5.623045064,-2.648014668,-3.585090226,-6.233104894,-0.0695135619,-0.0695135619,0,-3.924714251,-3.334723513,-7.259437764,0.299314509
Robert Woodard II,woodaro01,2022,90,42,-6.47666148,-0.4344461299,-6.91110761,2.601327099,9.213464611,11.81479171,-4.86116204,1.7071165,-3.15404554,-0.008607570089,-0.008607570089,0,-3.393572662,-2.115398628,-5.50897129,-0.5830505678
Christian Wood,woodch01,2022,4445,2094,-0.5366493858,-1.355901163,-1.892550548,-1.963305211,-0.7633127556,-2.726617967,-0.8031819151,-1.237441264,-2.040623179,0.7613970528,0.7613970528,0,-0.4571819276,-1.813079856,-2.270261784,0.4655402318
Delon Wright,wrighde01,2022,3272,1589,-0.3947906363,2.354575451,1.959784815,0.5555961493,2.456429659,3.012025808,-0.254751162,2.544225362,2.2894742,4.071242515,3.2000534,0.8711891145,-0.3434305099,2.10494608,1.76151557,-1.497641321
McKinley Wright IV,wrighmc01,2022,41,19,0.2003483621,-7.50945887,-7.309110508,-6.870536487,-10.13737903,-17.00791552,-1.290292553,-8.510070154,-9.800362706,-0.06819546522,-0.06819546522,0,-2.485645958,-9.368324954,-11.85397091,-0.2185170734
Moses Wright,wrighmo01,2022,30,14,-0.357738685,-1.463855534,-1.821594219,0.7642458146,-7.061769509,-6.297523694,-0.2097723809,-2.803945999,-3.01371838,-0.001131119106,-0.001131119106,0,-0.09221843798,-4.863868264,-4.956086702,-1.967683196
Gabe York,yorkga01,2022,50,21,1.908362405,2.391025679,4.299388085,-4.326690047,0.9141191461,-3.412570901,0.7582491053,2.301326011,3.059575116,0.06348346774,0.06348346774,0,0.9380192661,3.124527806,4.062547072,1.989805733
Thaddeus Young,youngth01,2022,1927,932,-0.2324640869,0.3306210602,0.09815697335,-1.608522668,2.074779375,0.4662567071,-0.540097225,0.7268372931,0.1867400681,1.417298654,1.447940006,-0.03064135225,-0.4905064077,1.012304265,0.5217978569,0.412186861
Trae Young,youngtr01,2022,5903,2838,7.064968633,-2.762787351,4.302181282,3.647054751,-3.381589662,0.2654650893,6.715589373,-3.04964849,3.665940883,9.403348567,9.903858116,-0.5005095487,6.523702975,-3.35696466,3.166738315,2.214592993
Omer Yurtseven,yurtsom01,2022,1525,744,-2.696109957,1.256200184,-1.439909773,1.337086644,-0.5845236518,0.7525629922,-2.049417256,0.8766846644,-1.172732591,0.5994523709,0.5631269693,0.03632540154,-2.256518731,0.176608396,-2.079910335,-0.03525390171
Cody Zeller,zelleco01,2022,748,355,-0.3803316445,-3.771124072,-4.151455717,0.3653322981,-0.4021198049,-0.03678750681,-0.2224456828,-3.226755981,-3.449201664,-0.1270352122,-0.1270352122,0,-0.3964877711,-2.401035696,-2.797523467,0.3120014142
Ivica Zubac,zubaciv01,2022,3786,1852,-0.9200325931,1.986362166,1.066329573,0.3434466006,-4.677449241,-4.33400264,-0.6937649548,0.7233584622,0.02959350743,2.62695811,2.62695811,0,-1.134138985,1.759847766,0.6257087805,0.02082328251
